copper_height,f_max,f_min,feed_depth,feed_gap_width,feed_width,l3horizontal,l3vertical,patch_length,patch_width,permittivity,realized_gain,resonance,s11,substrate_height,bandwidth
0.035,3.0,1.0,4.0,6.4,3.3,-3.5589,2.1402,32.0,35.2,4.3,2.1402,2.234,-12.374,1.6764,0.06302200000000001
0.035,3.0,1.0,4.0,6.4,2.915,-3.6687,1.7512,32.0,35.2,5.0,1.7512,2.074,-13.481,1.6764,0.061996
0.035,3.0,1.0,8.0,2.1333,3.74,-3.1385,2.7952,32.0,35.2,3.6,2.7952,2.404,-15.507,1.6764,0.085373
0.035,3.0,1.0,8.0,2.1333,3.3,-3.3749,2.2485,32.0,35.2,4.3,2.2485,2.204,-16.186,1.6764,0.076276
0.035,3.0,1.0,8.0,2.1333,2.915,-3.5988,1.7516,32.0,35.2,5.0,1.7516,2.046,-17.18,1.6764,0.069941
0.035,3.0,1.0,4.0,2.1333,3.74,-3.578,2.3783,32.0,35.2,3.6,2.3783,2.372,-10.908,1.6764,0.055015999999999995
0.035,3.0,1.0,4.0,2.1333,3.3,-3.7302,1.9044,32.0,35.2,4.3,1.9044,2.178,-11.632,1.6764,0.056630999999999994
0.035,3.0,1.0,4.0,2.1333,2.915,-3.8907,1.4615,32.0,35.2,5.0,1.4615,2.022,-12.604000000000001,1.6764,0.057495000000000004
0.035,3.0,1.0,7.25,5.8,3.06,-3.3372,2.0948,29.0,26.1,3.6,2.0948,2.822,-14.593,1.3716,0.094877
0.035,3.0,1.0,7.25,5.8,2.7,-3.5472,1.5793,29.0,26.1,4.3,1.5793,2.588,-15.738,1.3716,0.086355
0.035,3.0,1.0,7.25,5.8,2.385,-3.6625,1.2408,29.0,26.1,5.0,1.2408,2.4019999999999997,-17.549,1.3716,0.07942300000000001
0.035,3.0,1.0,3.625,5.8,2.385,-4.1914,0.6837300000000001,29.0,26.1,5.0,0.6837300000000001,2.3280000000000003,-10.364,1.3716,0.037413999999999996
0.035,3.0,1.0,7.25,1.9333,3.06,-3.6971,1.6048,29.0,26.1,3.6,1.6048,2.688,-11.225,1.3716,0.067436
0.035,3.0,1.0,7.25,1.9333,2.7,-3.8578,1.1572,29.0,26.1,4.3,1.1572,2.464,-11.944,1.3716,0.067858
0.035,3.0,1.0,7.25,1.9333,2.385,-3.9977,0.80853,29.0,26.1,5.0,0.80853,2.2880000000000003,-13.047,1.3716,0.06827899999999999
0.035,3.0,1.0,3.625,1.9333,2.385,-4.3268,0.47663,29.0,26.1,5.0,0.47663,2.254,-10.636,1.3716,0.042504
0.035,3.0,1.0,7.25,5.8,3.4,-3.0883,2.3369,29.0,26.1,3.6,2.3369,2.82,-13.258,1.524,0.092882
0.035,3.0,1.0,7.25,5.8,3.0,-3.2601,1.8585,29.0,26.1,4.3,1.8585,2.5860000000000003,-14.22,1.524,0.08580299999999999
0.035,3.0,1.0,7.25,5.8,2.65,-3.3657,1.5294,29.0,26.1,5.0,1.5294,2.398,-15.571,1.524,0.080002
0.035,3.0,1.0,7.25,1.9333,3.4,-3.5195,1.7768,29.0,26.1,3.6,1.7768,2.6839999999999997,-10.300999999999998,1.524,0.048549
0.035,3.0,1.0,7.25,1.9333,3.0,-3.6584,1.3496,29.0,26.1,4.3,1.3496,2.46,-10.917,1.524,0.056299
0.035,3.0,1.0,7.25,1.9333,2.65,-3.7765,1.0207,29.0,26.1,5.0,1.0207,2.2840000000000003,-11.786,1.524,0.063294
0.035,3.0,1.0,7.25,5.8,3.74,-2.9042,2.5166,29.0,26.1,3.6,2.5166,2.82,-12.100999999999999,1.6764,0.088408
0.035,3.0,1.0,7.25,5.8,3.3,-3.0524,2.0594,29.0,26.1,4.3,2.0594,2.5839999999999996,-12.937999999999999,1.6764,0.084037
0.035,3.0,1.0,7.25,5.8,2.915,-3.1506,1.7367,29.0,26.1,5.0,1.7367,2.396,-14.093,1.6764,0.079907
0.035,3.0,1.0,7.25,1.9333,3.3,-3.4415,1.5619,29.0,26.1,4.3,1.5619,2.46,-10.302999999999999,1.6764,0.043382
0.035,3.0,1.0,7.25,1.9333,2.915,-3.5371,1.2523,29.0,26.1,5.0,1.2523,2.282,-11.095999999999998,1.6764,0.055917999999999995
0.035,3.0,1.0,7.25,5.8,3.06,-3.2525,2.4914,29.0,29.0,3.6,2.4914,2.78,-23.458000000000002,1.3716,0.095353
0.035,3.0,1.0,7.25,5.8,2.7,-3.4371,1.9824,29.0,29.0,4.3,1.9824,2.55,-26.09,1.3716,0.084205
0.035,3.0,1.0,7.25,5.8,2.385,-3.7122,1.4572,29.0,29.0,5.0,1.4572,2.366,-32.304,1.3716,0.075639
0.035,3.0,1.0,3.625,5.8,3.06,-3.8426,1.9051,29.0,29.0,3.6,1.9051,2.71,-10.407,1.3716,0.045828
0.035,3.0,1.0,3.625,5.8,2.7,-3.9469,1.4648,29.0,29.0,4.3,1.4648,2.488,-11.244000000000002,1.3716,0.055527999999999994
0.035,3.0,1.0,3.625,5.8,2.385,-4.0621,1.0898,29.0,29.0,5.0,1.0898,2.31,-12.345,1.3716,0.06118099999999999
0.035,3.0,1.0,7.25,1.9333,3.06,-3.5405,2.1165,29.0,29.0,3.6,2.1165,2.6719999999999997,-13.616,1.3716,0.085658
0.035,3.0,1.0,7.25,1.9333,2.7,-3.6971,1.6265,29.0,29.0,4.3,1.6265,2.45,-14.386,1.3716,0.078628
0.035,3.0,1.0,7.25,1.9333,2.385,-3.8852,1.1978,29.0,29.0,5.0,1.1978,2.274,-15.687999999999999,1.3716,0.073601
0.035,3.0,1.0,3.625,1.9333,3.06,-4.001,1.6664,29.0,29.0,3.6,1.6664,2.634,-10.259,1.3716,0.041597
0.035,3.0,1.0,3.625,1.9333,2.7,-4.0992,1.2316,29.0,29.0,4.3,1.2316,2.418,-11.05,1.3716,0.051474
0.035,3.0,1.0,3.625,1.9333,2.385,-4.2446,0.8386399999999999,29.0,29.0,5.0,0.8386399999999999,2.244,-12.122,1.3716,0.059188
0.035,3.0,1.0,7.25,5.8,3.4,-2.9313,2.8007,29.0,29.0,3.6,2.8007,2.7760000000000002,-20.125999999999998,1.524,0.09978
0.035,3.0,1.0,7.25,5.8,3.0,-3.1501,2.2615,29.0,29.0,4.3,2.2615,2.546,-21.763,1.524,0.088226
0.035,3.0,1.0,7.25,5.8,2.65,-3.363,1.7982,29.0,29.0,5.0,1.7982,2.364,-24.538,1.524,0.079927
0.035,3.0,1.0,3.625,5.8,3.0,-3.7268,1.6811,29.0,29.0,4.3,1.6811,2.484,-10.359000000000002,1.524,0.04173
0.035,3.0,1.0,3.625,5.8,2.65,-3.8139,1.3330000000000002,29.0,29.0,5.0,1.3330000000000002,2.306,-11.241,1.524,0.053657
0.035,3.0,1.0,7.25,1.9333,3.4,-3.354,2.2941,29.0,29.0,3.6,2.2941,2.668,-12.408,1.524,0.083554
0.035,3.0,1.0,7.25,1.9333,3.0,-3.5073,1.8104,29.0,29.0,4.3,1.8104,2.4459999999999997,-13.025,1.524,0.07753099999999999
0.035,3.0,1.0,7.25,1.9333,2.65,-3.6834,1.3932,29.0,29.0,5.0,1.3932,2.27,-13.974,1.524,0.073991
0.035,3.0,1.0,3.625,1.9333,3.0,-3.9366,1.389,29.0,29.0,4.3,1.389,2.41,-10.22,1.524,0.03707
0.035,3.0,1.0,3.625,1.9333,2.65,-4.0665,1.0114,29.0,29.0,5.0,1.0114,2.238,-11.087,1.524,0.049536000000000004
0.035,3.0,1.0,7.25,5.8,3.74,-2.7092,3.0127,29.0,29.0,3.6,3.0127,2.7739999999999996,-17.68,1.6764,0.1041
0.035,3.0,1.0,7.25,5.8,3.3,-2.9161,2.4884,29.0,29.0,4.3,2.4884,2.544,-18.864,1.6764,0.092234
0.035,3.0,1.0,7.25,5.8,2.915,-3.0926,2.0606,29.0,29.0,5.0,2.0606,2.36,-20.791999999999998,1.6764,0.083334
0.035,3.0,1.0,3.625,5.8,2.915,-3.6111,1.53,29.0,29.0,5.0,1.53,2.302,-10.475,1.6764,0.043299000000000004
0.035,3.0,1.0,7.25,1.9333,3.74,-3.1502,2.4911,29.0,29.0,3.6,2.4911,2.6660000000000004,-11.69,1.6764,0.079136
0.035,3.0,1.0,7.25,1.9333,3.3,-3.2878,2.0256,29.0,29.0,4.3,2.0256,2.444,-12.255,1.6764,0.074567
0.035,3.0,1.0,7.25,1.9333,2.915,-3.453,1.6175,29.0,29.0,5.0,1.6175,2.266,-13.097000000000001,1.6764,0.072358
0.035,3.0,1.0,3.625,1.9333,2.915,-3.8432,1.2307,29.0,29.0,5.0,1.2307,2.2359999999999998,-10.277999999999999,1.6764,0.036936000000000004
0.035,3.0,1.0,7.25,5.8,3.06,-3.2691,2.7446,29.0,31.9,3.6,2.7446,2.7439999999999998,-25.36,1.3716,0.083262
0.035,3.0,1.0,7.25,5.8,2.7,-3.5649,2.138,29.0,31.9,4.3,2.138,2.5180000000000002,-24.535999999999998,1.3716,0.073719
0.035,3.0,1.0,7.25,5.8,2.385,-3.8462,1.5959999999999999,29.0,31.9,5.0,1.5959999999999999,2.338,-21.945,1.3716,0.064544
0.035,3.0,1.0,3.625,5.8,3.06,-3.5836,2.4603,29.0,31.9,3.6,2.4603,2.694,-12.638,1.3716,0.077007
0.035,3.0,1.0,3.625,5.8,2.7,-3.7691,1.9379,29.0,31.9,4.3,1.9379,2.47,-13.493,1.3716,0.07220499999999999
0.035,3.0,1.0,3.625,5.8,2.385,-3.9083,1.5198,29.0,31.9,5.0,1.5198,2.296,-14.94,1.3716,0.069025
0.035,3.0,1.0,7.25,1.9333,3.06,-3.4098,2.5378,29.0,31.9,3.6,2.5378,2.658,-17.092,1.3716,0.09246599999999999
0.035,3.0,1.0,7.25,1.9333,2.7,-3.6976,1.9336,29.0,31.9,4.3,1.9336,2.436,-17.58,1.3716,0.083628
0.035,3.0,1.0,7.25,1.9333,2.385,-3.9256,1.4329,29.0,31.9,5.0,1.4329,2.262,-19.202,1.3716,0.076789
0.035,3.0,1.0,3.625,1.9333,3.06,-3.7713,2.1967,29.0,31.9,3.6,2.1967,2.6260000000000003,-11.860999999999999,1.3716,0.068673
0.035,3.0,1.0,3.625,1.9333,2.7,-3.9896,1.6497,29.0,31.9,4.3,1.6497,2.408,-12.671,1.3716,0.06777000000000001
0.035,3.0,1.0,3.625,1.9333,2.385,-4.162,1.1969,29.0,31.9,5.0,1.1969,2.238,-13.892000000000001,1.3716,0.06571
0.035,3.0,1.0,7.25,5.8,3.4,-2.9606,3.0404,29.0,31.9,3.6,3.0404,2.74,-34.954,1.524,0.090888
0.035,3.0,1.0,7.25,5.8,3.0,-3.2306,2.4623,29.0,31.9,4.3,2.4623,2.5140000000000002,-32.902,1.524,0.08123
0.035,3.0,1.0,7.25,5.8,2.65,-3.4606,1.9731,29.0,31.9,5.0,1.9731,2.334,-27.462,1.524,0.071637
0.035,3.0,1.0,3.625,5.8,3.4,-3.4002,2.6361,29.0,31.9,3.6,2.6361,2.688,-11.599,1.524,0.072858
0.035,3.0,1.0,3.625,5.8,3.0,-3.5581,2.1427,29.0,31.9,4.3,2.1427,2.4659999999999997,-12.298,1.524,0.069469
0.035,3.0,1.0,3.625,5.8,2.65,-3.6912,1.7313,29.0,31.9,5.0,1.7313,2.29,-13.489,1.524,0.068249
0.035,3.0,1.0,7.25,1.9333,3.4,-3.1211,2.8184,29.0,31.9,3.6,2.8184,2.654,-15.698,1.524,0.09376
0.035,3.0,1.0,7.25,1.9333,3.0,-3.3886,2.2366,29.0,31.9,4.3,2.2366,2.432,-16.067999999999998,1.524,0.084253
0.035,3.0,1.0,7.25,1.9333,2.65,-3.5888,1.7637,29.0,31.9,5.0,1.7637,2.258,-17.332,1.524,0.077113
0.035,3.0,1.0,3.625,1.9333,3.4,-3.5805,2.3825,29.0,31.9,3.6,2.3825,2.62,-10.915,1.524,0.059627
0.035,3.0,1.0,3.625,1.9333,3.0,-3.7376,1.8987,29.0,31.9,4.3,1.8987,2.404,-11.565999999999999,1.524,0.060922000000000004
0.035,3.0,1.0,3.625,1.9333,2.65,-3.8869,1.4686,29.0,31.9,5.0,1.4686,2.234,-12.572000000000001,1.524,0.061637
0.035,3.0,1.0,7.25,5.8,3.74,-2.6935,3.2943,29.0,31.9,3.6,3.2943,2.736,-37.073,1.6764,0.09728300000000001
0.035,3.0,1.0,7.25,5.8,3.3,-2.9431,2.7396,29.0,31.9,4.3,2.7396,2.51,-39.825,1.6764,0.086673
0.035,3.0,1.0,7.25,5.8,2.915,-3.1318,2.2937,29.0,31.9,5.0,2.2937,2.33,-42.756,1.6764,0.076926
0.035,3.0,1.0,3.625,5.8,3.74,-3.2346,2.7902,29.0,31.9,3.6,2.7902,2.682,-10.815,1.6764,0.062251
0.035,3.0,1.0,3.625,5.8,3.3,-3.3827,2.3109,29.0,31.9,4.3,2.3109,2.46,-11.415999999999999,1.6764,0.062388
0.035,3.0,1.0,3.625,5.8,2.915,-3.4959,1.9223,29.0,31.9,5.0,1.9223,2.286,-12.369000000000002,1.6764,0.064313
0.035,3.0,1.0,7.25,1.9333,3.74,-2.9573,2.9739999999999998,29.0,31.9,3.6,2.9739999999999998,2.648,-14.267000000000001,1.6764,0.095538
0.035,3.0,1.0,7.25,1.9333,3.3,-3.1919,2.4271,29.0,31.9,4.3,2.4271,2.428,-14.529000000000002,1.6764,0.085301
0.035,3.0,1.0,7.25,1.9333,2.915,-3.375,1.9717,29.0,31.9,5.0,1.9717,2.254,-15.395,1.6764,0.078426
0.035,3.0,1.0,3.625,1.9333,3.74,-3.4615,2.4952,29.0,31.9,3.6,2.4952,2.614,-10.206,1.6764,0.042289
0.035,3.0,1.0,3.625,1.9333,3.3,-3.6,2.0288,29.0,31.9,4.3,2.0288,2.396,-10.773,1.6764,0.054223
0.035,3.0,1.0,3.625,1.9333,2.915,-3.7057,1.6443,29.0,31.9,5.0,1.6443,2.226,-11.585999999999999,1.6764,0.057999999999999996
0.035,30.0,10.0,0.8,0.64,0.306,-3.7357,1.7548,3.2,2.88,3.6,1.7548,25.86,-14.624,0.13716,0.92325
0.035,30.0,10.0,0.8,0.64,0.27,-3.9255,1.2559,3.2,2.88,4.3,1.2559,23.72,-15.809000000000001,0.13716,0.8553200000000001
0.035,30.0,10.0,0.8,0.64,0.2385,-4.1389,0.81652,3.2,2.88,5.0,0.81652,22.02,-17.129,0.13716,0.8134
0.035,30.0,10.0,0.4,0.64,0.27,-4.4955,0.66685,3.2,2.88,4.3,0.66685,22.94,-10.68,0.13716,0.48141000000000006
