copper_height,f_max,f_min,feed_depth,feed_gap_width,feed_width,l3horizontal,l3vertical,patch_length,patch_width,permittivity,realized_gain,resonance,s11,substrate_height
0.035,,,0.14167000000000002,0.085,0.1,-3.3122,1.5218,0.85,0.7,4.3,1.5218,84.1,-10.521,0.07
0.035,,,0.047222,0.085,0.1,-3.4137,1.4188,0.85,0.7,4.3,1.4188,83.0,-10.692,0.07
0.035,,,0.28333,0.028333,0.1,-3.0279,1.7898,0.85,0.7,4.3,1.7898,84.4,-11.015999999999998,0.07
0.035,,,0.14167000000000002,0.028333,0.1,-3.2809,1.5512,0.85,0.7,4.3,1.5512,83.45,-10.177,0.07
0.035,,,0.047222,0.028333,0.1,-3.3137,1.5212,0.85,0.7,4.3,1.5212,83.0,-10.092,0.07
0.035,,,0.28333,0.255,0.14,-1.8828,3.2146,0.85,0.7,4.3,3.2146,100.75,-9.5921,0.09
0.035,,,0.14167000000000002,0.255,0.14,-3.2612,1.64,0.85,0.7,4.3,1.64,89.2,-6.5378,0.09
0.035,,,0.047222,0.255,0.14,-3.1184,1.7106,0.85,0.7,4.3,1.7106,84.5,-7.4192,0.09
0.035,,,0.28333,0.085,0.14,-2.2534,2.5282,0.85,0.7,4.3,2.5282,86.35,-10.275,0.09
0.035,,,0.14167000000000002,0.085,0.14,-2.9628,1.8213,0.85,0.7,4.3,1.8213,83.65,-7.9929999999999986,0.09
0.035,,,0.047222,0.085,0.14,-3.0713,1.7035,0.85,0.7,4.3,1.7035,82.35,-7.9784,0.09
0.035,,,0.28333,0.028333,0.14,-2.6748,2.1016,0.85,0.7,4.3,2.1016,84.3,-8.6822,0.09
0.035,,,0.14167000000000002,0.028333,0.14,-2.9692,1.8071,0.85,0.7,4.3,1.8071,83.0,-7.8935,0.09
0.035,,,0.047222,0.028333,0.14,-3.0467,1.7301,0.85,0.7,4.3,1.7301,82.45,-7.7722,0.09
0.035,,,0.28333,0.255,0.07,-3.4798,1.765,0.85,0.8,4.3,1.765,92.75,-17.201,0.05
0.035,,,0.14167000000000002,0.255,0.07,-3.7574,1.6509,0.85,0.8,4.3,1.6509,89.5,-14.015999999999998,0.05
0.035,,,0.047222,0.255,0.07,-3.991,1.3431,0.85,0.8,4.3,1.3431,85.25,-15.743,0.05
0.035,,,0.28333,0.085,0.07,-3.6912,1.5022,0.85,0.8,4.3,1.5022,85.6,-24.123,0.05
0.035,,,0.14167000000000002,0.085,0.07,-4.0973,1.1747,0.85,0.8,4.3,1.1747,84.35,-17.471,0.05
0.035,,,0.047222,0.085,0.07,-4.2383,1.0418,0.85,0.8,4.3,1.0418,83.4,-17.865,0.05
0.035,,,0.28333,0.028333,0.07,-4.0074,1.2305,0.85,0.8,4.3,1.2305,83.95,-17.226,0.05
0.035,,,0.14167000000000002,0.028333,0.07,-4.2158,1.0497,0.85,0.8,4.3,1.0497,83.3,-16.829,0.05
0.035,,,0.047222,0.028333,0.07,-4.2157,1.0586,0.85,0.8,4.3,1.0586,83.0,-17.177,0.05
0.035,,,0.28333,0.255,0.1,-2.1638,3.0863,0.85,0.8,4.3,3.0863,92.45,-34.994,0.07
0.035,,,0.14167000000000002,0.255,0.1,-3.0408,2.3215,0.85,0.8,4.3,2.3215,88.45,-10.724,0.07
0.035,,,0.047222,0.255,0.1,-3.2096,2.0737,0.85,0.8,4.3,2.0737,84.4,-11.315,0.07
0.035,,,0.28333,0.085,0.1,-2.616,2.5541,0.85,0.8,4.3,2.5541,85.1,-16.834,0.07
0.035,,,0.14167000000000002,0.085,0.1,-3.2108,2.0154,0.85,0.8,4.3,2.0154,83.5,-12.339,0.07
0.035,,,0.047222,0.085,0.1,-3.3683,1.8634,0.85,0.8,4.3,1.8634,82.5,-12.234000000000002,0.07
0.035,,,0.28333,0.028333,0.1,-2.9153,2.2905,0.85,0.8,4.3,2.2905,83.7,-13.159,0.07
0.035,,,0.14167000000000002,0.028333,0.1,-3.1782,2.0477,0.85,0.8,4.3,2.0477,82.85,-11.773,0.07
0.035,,,0.047222,0.028333,0.1,-3.2628,1.9723,0.85,0.8,4.3,1.9723,82.5,-11.553,0.07
0.035,,,0.28333,0.255,0.14,-1.5104,3.7405,0.85,0.8,4.3,3.7405,92.95,-20.408,0.09
0.035,,,0.14167000000000002,0.255,0.14,-2.7954,2.5067,0.85,0.8,4.3,2.5067,87.75,-8.3088,0.09
0.035,,,0.047222,0.255,0.14,-2.9213,2.3128,0.85,0.8,4.3,2.3128,83.7,-8.6189,0.09
0.035,,,0.28333,0.085,0.14,-2.0372,3.1010000000000004,0.85,0.8,4.3,3.1010000000000004,85.05,-13.231,0.09
0.035,,,0.14167000000000002,0.085,0.14,-2.7762,2.4159,0.85,0.8,4.3,2.4159,83.0,-9.3325,0.09
0.035,,,0.047222,0.085,0.14,-2.955,2.2389,0.85,0.8,4.3,2.2389,81.85,-9.077,0.09
0.035,,,0.28333,0.028333,0.14,-2.4938,2.6731,0.85,0.8,4.3,2.6731,83.45,-10.321,0.09
0.035,,,0.14167000000000002,0.028333,0.14,-2.8445,2.3441,0.85,0.8,4.3,2.3441,82.35,-9.0794,0.09
0.035,,,0.047222,0.028333,0.14,-2.9298,2.2645,0.85,0.8,4.3,2.2645,81.85,-8.8439,0.09
0.035,,,0.28333,0.255,0.07,-4.6709,0.8260799999999999,0.85,0.9,4.3,0.8260799999999999,89.7,-9.6677,0.05
0.035,,,0.14167000000000002,0.255,0.07,-3.5962,2.1566,0.85,0.9,4.3,2.1566,88.3,-19.348,0.05
0.035,,,0.047222,0.255,0.07,-3.942,1.771,0.85,0.9,4.3,1.771,84.7,-19.219,0.05
0.035,,,0.28333,0.085,0.07,-3.8049,1.7664,0.85,0.9,4.3,1.7664,84.85,-42.025,0.05
0.035,,,0.14167000000000002,0.085,0.07,-4.0705,1.5817,0.85,0.9,4.3,1.5817,83.85,-21.696,0.05
0.035,,,0.047222,0.085,0.07,-4.1936,1.4744,0.85,0.9,4.3,1.4744,83.0,-21.57,0.05
0.035,,,0.28333,0.028333,0.07,-4.074,1.5508,0.85,0.9,4.3,1.5508,83.5,-21.273000000000003,0.05
0.035,,,0.14167000000000002,0.028333,0.07,-4.1984,1.4551,0.85,0.9,4.3,1.4551,82.9,-20.094,0.05
0.035,,,0.047222,0.028333,0.07,-4.2685,1.3971,0.85,0.9,4.3,1.3971,82.65,-20.388,0.05
0.035,,,0.28333,0.255,0.1,-2.7304,2.7704,0.85,0.9,4.3,2.7704,89.2,-12.809,0.07
0.035,,,0.14167000000000002,0.255,0.1,-2.7753,2.9330000000000003,0.85,0.9,4.3,2.9330000000000003,87.25,-13.912,0.07
0.035,,,0.047222,0.255,0.1,-3.1042,2.5653,0.85,0.9,4.3,2.5653,83.75,-13.269,0.07
0.035,,,0.28333,0.085,0.1,-2.6523,2.8875,0.85,0.9,4.3,2.8875,84.2,-23.357,0.07
0.035,,,0.14167000000000002,0.085,0.1,-3.1198,2.4953,0.85,0.9,4.3,2.4953,82.95,-14.538,0.07
0.035,,,0.047222,0.085,0.1,-3.3006,2.3271,0.85,0.9,4.3,2.3271,82.05,-14.031,0.07
0.035,,,0.28333,0.028333,0.1,-2.8315,2.7578,0.85,0.9,4.3,2.7578,83.1,-15.847,0.07
0.035,,,0.14167000000000002,0.028333,0.1,-3.1208,2.4997,0.85,0.9,4.3,2.4997,82.4,-13.604,0.07
0.035,,,0.047222,0.028333,0.1,-3.1828,2.4485,0.85,0.9,4.3,2.4485,82.05,-13.186,0.07
0.035,,,0.28333,0.255,0.14,-1.7373,3.7375,0.85,0.9,4.3,3.7375,89.1,-17.988,0.09
0.035,,,0.14167000000000002,0.255,0.14,-2.4512,3.2036,0.85,0.9,4.3,3.2036,86.5,-10.524,0.09
0.035,,,0.047222,0.255,0.14,-2.753,2.8679,0.85,0.9,4.3,2.8679,83.0,-9.9934,0.09
0.035,,,0.28333,0.085,0.14,-1.9477,3.5555,0.85,0.9,4.3,3.5555,84.0,-17.412,0.09
0.035,,,0.14167000000000002,0.085,0.14,-2.6639,2.9149,0.85,0.9,4.3,2.9149,82.4,-10.887,0.09
0.035,,,0.047222,0.085,0.14,-2.8741,2.7155,0.85,0.9,4.3,2.7155,81.35,-10.316,0.09
0.035,,,0.28333,0.028333,0.14,-2.3602,3.1911,0.85,0.9,4.3,3.1911,82.75,-12.285,0.09
0.035,,,0.14167000000000002,0.028333,0.14,-2.7228,2.8561,0.85,0.9,4.3,2.8561,81.8,-10.404000000000002,0.09
0.035,,,0.047222,0.028333,0.14,-2.8379,2.7515,0.85,0.9,4.3,2.7515,81.4,-10.013,0.09
0.035,,,0.28333,0.255,0.07,-6.4448,-0.7353,0.85,1.0,4.3,-0.7353,87.5,-6.73,0.05
0.035,,,0.14167000000000002,0.255,0.07,-3.5475,2.5213,0.85,1.0,4.3,2.5213,87.3,-33.238,0.05
0.035,,,0.047222,0.255,0.07,-3.8777,2.1563,0.85,1.0,4.3,2.1563,84.15,-24.674,0.05
0.035,,,0.28333,0.085,0.07,-3.9585,1.915,0.85,1.0,4.3,1.915,84.25,-23.203000000000007,0.05
