permittivity,f_max,f_min,feed_depth,feed_gap_width,feed_width,substrate_height,patch_length,copper_height,patch_width,resonance,s11,realized_gain,l3vertical,l3horizontal
3.6,3,1,4.0,2.1333,3.74,1.6764,32.0,0.035,35.2,2.372,-10.908,2.3783,2.3783,-3.5780000000000003
4.3,3,1,4.0,2.1333,3.3,1.6764,32.0,0.035,35.2,2.178,-11.632,1.9044,1.9044,-3.7302
5.0,3,1,4.0,2.1333,2.915,1.6764,32.0,0.035,35.2,2.022,-12.604,1.4615,1.4615,-3.8907
3.6,3,1,7.25,5.8,3.06,1.3716,29.0,0.035,26.1,2.822,-14.593,2.0948,2.0948,-3.3372
4.3,3,1,7.25,5.8,2.7,1.3716,29.0,0.035,26.1,2.588,-15.738,1.5793,1.5793,-3.5472
5.0,3,1,7.25,5.8,2.385,1.3716,29.0,0.035,26.1,2.402,-17.549,1.2408,1.2408,-3.6625
3.6,3,1,3.625,5.8,3.06,1.3716,29.0,0.035,26.1,2.73,-8.6928,1.3123,1.3123,-4.0927
4.3,3,1,3.625,5.8,2.7,1.3716,29.0,0.035,26.1,2.506,-9.425,0.95065,0.95065,-4.147
5.0,3,1,3.625,5.8,2.385,1.3716,29.0,0.035,26.1,2.3280000000000003,-10.364,0.6837300000000001,0.6837300000000001,-4.1914
3.6,3,1,7.25,1.9333,3.06,1.3716,29.0,0.035,26.1,2.688,-11.225,1.6048,1.6048,-3.6971
4.3,3,1,7.25,1.9333,2.7,1.3716,29.0,0.035,26.1,2.464,-11.944,1.1572,1.1572,-3.8578
5.0,3,1,7.25,1.9333,2.385,1.3716,29.0,0.035,26.1,2.2880000000000003,-13.047,0.80853,0.80853,-3.9977
3.6,3,1,3.625,1.9333,3.06,1.3716,29.0,0.035,26.1,2.644,-8.9308,1.126,1.126,-4.1829
4.3,3,1,3.625,1.9333,2.7,1.3716,29.0,0.035,26.1,2.426,-9.6639,0.78245,0.78245,-4.2342
5.0,3,1,3.625,1.9333,2.385,1.3716,29.0,0.035,26.1,2.254,-10.636,0.47663,0.47663,-4.3268
3.6,3,1,7.25,5.8,3.4,1.524,29.0,0.035,26.1,2.82,-13.258,2.3369,2.3369,-3.0883
4.3,3,1,7.25,5.8,3.0,1.524,29.0,0.035,26.1,2.5860000000000003,-14.22,1.8585,1.8585,-3.2601
5.0,3,1,7.25,5.8,2.65,1.524,29.0,0.035,26.1,2.398,-15.571,1.5294,1.5294,-3.3657
3.6,3,1,3.625,5.8,3.4,1.524,29.0,0.035,26.1,2.7260000000000004,-8.0823,1.4895,1.4895,-3.9059
4.3,3,1,3.625,5.8,3.0,1.524,29.0,0.035,26.1,2.502,-8.7304,1.1533,1.1533,-3.9383
5.0,3,1,3.625,5.8,2.65,1.524,29.0,0.035,26.1,2.324,-9.5095,0.89875,0.89875,-3.9694
3.6,3,1,7.25,1.9333,3.4,1.524,29.0,0.035,26.1,2.684,-10.300999999999998,1.7768,1.7768,-3.5195
4.3,3,1,7.25,1.9333,3.0,1.524,29.0,0.035,26.1,2.46,-10.917,1.3496,1.3496,-3.6584
5.0,3,1,7.25,1.9333,2.65,1.524,29.0,0.035,26.1,2.2840000000000003,-11.786,1.0207,1.0207,-3.7765
3.6,3,1,3.625,1.9333,3.4,1.524,29.0,0.035,26.1,2.636,-8.3219,1.2494,1.2494,-4.0504
4.3,3,1,3.625,1.9333,3.0,1.524,29.0,0.035,26.1,2.42,-8.982000000000003,0.92341,0.92341,-4.0864
5.0,3,1,3.625,1.9333,2.65,1.524,29.0,0.035,26.1,2.248,-9.7931,0.65493,0.65493,-4.1393
