permittivity,f_max,f_min,feed_depth,feed_gap_width,feed_width,substrate_height,patch_length,copper_height,patch_width,resonance,s11,realized_gain,l3vertical,l3horizontal
5.0,65,35,0.20625,0.33,0.1358,0.0781,1.65,0.035,1.815,40.85,-15.937999999999999,1.3132,1.3132,-4.2351
3.6,65,35,0.4125,0.11,0.17424,0.0781,1.65,0.035,1.815,47.15,-15.529000000000002,2.2661,2.2661,-3.779
4.3,65,35,0.4125,0.11,0.15374000000000002,0.0781,1.65,0.035,1.815,43.25,-16.221,1.6421,1.6421,-4.0918
5.0,65,35,0.4125,0.11,0.1358,0.0781,1.65,0.035,1.815,40.19,-17.667,1.1226,1.1226,-4.3508
3.6,65,35,0.20625,0.11,0.17424,0.0781,1.65,0.035,1.815,46.58,-13.277000000000001,2.0225,2.0225,-4.0521
4.3,65,35,0.20625,0.11,0.15374000000000002,0.0781,1.65,0.035,1.815,42.77,-14.466,1.433,1.433,-4.3167
5.0,65,35,0.20625,0.11,0.1358,0.0781,1.65,0.035,1.815,39.8,-15.975,0.9453299999999999,0.9453299999999999,-4.5376
3.6,65,35,0.3625,0.29,0.14256,0.0639,1.45,0.035,1.305,57.17,-13.924000000000001,1.6540000000000001,1.6540000000000001,-3.84
4.3,65,35,0.3625,0.29,0.12579,0.0639,1.45,0.035,1.305,52.46,-14.929,1.1838,1.1838,-4.0124
5.0,65,35,0.3625,0.29,0.11110999999999999,0.0639,1.45,0.035,1.305,48.71,-16.102,0.73968,0.73968,-4.2313
3.6,65,35,0.18125,0.29,0.14256,0.0639,1.45,0.035,1.305,55.19,-10.362,1.0388,1.0388,-4.4487
4.3,65,35,0.18125,0.29,0.12579,0.0639,1.45,0.035,1.305,50.72,-11.364,0.64335,0.64335,-4.5539
5.0,65,35,0.18125,0.29,0.11110999999999999,0.0639,1.45,0.035,1.305,47.18,-12.64,0.32064000000000004,0.32064000000000004,-4.6458
3.6,65,35,0.3625,0.09666699999999999,0.14256,0.0639,1.45,0.035,1.305,54.26,-11.855,1.1099,1.1099,-4.2868
4.3,65,35,0.3625,0.09666699999999999,0.12579,0.0639,1.45,0.035,1.305,49.79,-12.819,0.6594,0.6594,-4.4539
5.0,65,35,0.3625,0.09666699999999999,0.11110999999999999,0.0639,1.45,0.035,1.305,46.25,-14.071,0.26111,0.26111,-4.6357
3.6,65,35,0.18125,0.09666699999999999,0.14256,0.0639,1.45,0.035,1.305,53.51,-11.019,0.8632700000000001,0.8632700000000001,-4.5479
4.3,65,35,0.18125,0.09666699999999999,0.12579,0.0639,1.45,0.035,1.305,49.19,-12.122,0.44946,0.44946,-4.6789
5.0,65,35,0.18125,0.09666699999999999,0.11110999999999999,0.0639,1.45,0.035,1.305,45.74,-13.644,0.094125,0.094125,-4.8132
3.6,65,35,0.3625,0.29,0.1584,0.071,1.45,0.035,1.305,57.14,-12.523,1.9209,1.9209,-3.571
4.3,65,35,0.3625,0.29,0.13976,0.071,1.45,0.035,1.305,52.4,-13.300999999999998,1.4543,1.4543,-3.7402
5.0,65,35,0.3625,0.29,0.12345999999999999,0.071,1.45,0.035,1.305,48.68,-14.181,1.0569,1.0569,-3.9112
3.6,65,35,0.18125,0.29,0.1584,0.071,1.45,0.035,1.305,55.07,-9.418,1.2461,1.2461,-4.2351
4.3,65,35,0.18125,0.29,0.13976,0.071,1.45,0.035,1.305,50.63,-10.238999999999999,0.8774200000000001,0.8774200000000001,-4.3148
5.0,65,35,0.18125,0.29,0.12345999999999999,0.071,1.45,0.035,1.305,47.09,-11.265999999999998,0.58313,0.58313,-4.3782
3.6,65,35,0.3625,0.09666699999999999,0.1584,0.071,1.45,0.035,1.305,54.17,-10.758,1.3241,1.3241,-4.0654
4.3,65,35,0.3625,0.09666699999999999,0.13976,0.071,1.45,0.035,1.305,49.7,-11.54,0.8930299999999999,0.8930299999999999,-4.2172
5.0,65,35,0.3625,0.09666699999999999,0.12345999999999999,0.071,1.45,0.035,1.305,46.16,-12.532,0.5214300000000001,0.5214300000000001,-4.3711
3.6,65,35,0.18125,0.09666699999999999,0.1584,0.071,1.45,0.035,1.305,53.36,-10.052,1.0247,1.0247,-4.3761
4.3,65,35,0.18125,0.09666699999999999,0.13976,0.071,1.45,0.035,1.305,49.04,-10.975,0.66728,0.66728,-4.4555
5.0,65,35,0.18125,0.09666699999999999,0.12345999999999999,0.071,1.45,0.035,1.305,45.62,-12.214,0.33252,0.33252,-4.569
3.6,65,35,0.3625,0.29,0.17424,0.0781,1.45,0.035,1.305,57.11,-11.655,2.1733,2.1733,-3.3160000000000003
4.3,65,35,0.3625,0.29,0.15374000000000002,0.0781,1.45,0.035,1.305,52.4,-12.308,1.7291,1.7291,-3.4632
5.0,65,35,0.3625,0.29,0.1358,0.0781,1.45,0.035,1.305,48.65,-13.072000000000001,1.3597,1.3597,-3.6044
3.6,65,35,0.18125,0.29,0.17424,0.0781,1.45,0.035,1.305,55.01,-8.6723,1.4387,1.4387,-4.038
4.3,65,35,0.18125,0.29,0.15374000000000002,0.0781,1.45,0.035,1.305,50.57,-9.3516,1.0917,1.0917,-4.0932
5.0,65,35,0.18125,0.29,0.1358,0.0781,1.45,0.035,1.305,47.03,-10.181000000000001,0.8322700000000001,0.8322700000000001,-4.1243
3.6,65,35,0.3625,0.09666699999999999,0.17424,0.0781,1.45,0.035,1.305,54.17,-9.969,1.5698,1.5698,-3.8167
4.3,65,35,0.3625,0.09666699999999999,0.15374000000000002,0.0781,1.45,0.035,1.305,49.7,-10.595999999999998,1.1633,1.1633,-3.9449
5.0,65,35,0.3625,0.09666699999999999,0.1358,0.0781,1.45,0.035,1.305,46.13,-11.377,0.81709,0.81709,-4.0712
