permittivity,f_max,f_min,feed_depth,feed_gap_width,feed_width,substrate_height,patch_length,copper_height,patch_width,resonance,s11,realized_gain,l3vertical,l3horizontal
3.6,105,55,0.1125,0.18,0.17424,0.0781,0.9,0.035,0.99,86.4,-8.7647,3.1681,3.1681,-2.8604
4.3,105,55,0.1125,0.18,0.15374000000000002,0.0781,0.9,0.035,0.99,79.45,-9.2484,2.7607,2.7607,-3.0131
5.0,105,55,0.1125,0.18,0.1358,0.0781,0.9,0.035,0.99,73.85,-9.8348,2.4292,2.4292,-3.1091
3.6,105,55,0.225,0.06,0.17424,0.0781,0.9,0.035,0.99,85.65,-9.9041,3.3007,3.3007,-2.6883
4.3,105,55,0.225,0.06,0.15374000000000002,0.0781,0.9,0.035,0.99,78.6,-10.262,2.8391,2.8391,-2.8789
5.0,105,55,0.225,0.06,0.1358,0.0781,0.9,0.035,0.99,72.95,-10.731,2.4558,2.4558,-3.0161
3.6,105,55,0.1125,0.06,0.17424,0.0781,0.9,0.035,0.99,84.3,-8.5198,2.8955,2.8955,-3.1161
4.3,105,55,0.1125,0.06,0.15374000000000002,0.0781,0.9,0.035,0.99,77.5,-8.9817,2.4904,2.4904,-3.2478
5.0,105,55,0.1125,0.06,0.1358,0.0781,0.9,0.035,0.99,72.05,-9.5539,2.153,2.153,-3.3326
3.6,105,55,0.25,0.2,0.14256,0.0639,1.0,0.035,0.9,82.75,-9.9321,2.4352,2.4352,-3.0468
4.3,105,55,0.25,0.2,0.12579,0.0639,1.0,0.035,0.9,75.9,-10.385,1.9624,1.9624,-3.2311
5.0,105,55,0.25,0.2,0.11110999999999999,0.0639,1.0,0.035,0.9,70.5,-11.17,1.6562,1.6562,-3.3106
3.6,105,55,0.125,0.2,0.14256,0.0639,1.0,0.035,0.9,79.4,-7.852,1.6409,1.6409,-3.807
4.3,105,55,0.125,0.2,0.12579,0.0639,1.0,0.035,0.9,73.05,-8.4704,1.3037,1.3037,-3.8759
5.0,105,55,0.125,0.2,0.11110999999999999,0.0639,1.0,0.035,0.9,67.95,-9.2111,1.0578,1.0578,-3.9062
3.6,105,55,0.25,0.06666699999999999,0.14256,0.0639,1.0,0.035,0.9,78.35,-8.9179,1.8055,1.8055,-3.5879
4.3,105,55,0.25,0.06666699999999999,0.12579,0.0639,1.0,0.035,0.9,71.85,-9.4301,1.3777,1.3777,-3.7346
5.0,105,55,0.25,0.06666699999999999,0.11110999999999999,0.0639,1.0,0.035,0.9,66.8,-10.201,1.0979,1.0979,-3.8028
3.6,105,55,0.125,0.06666699999999999,0.14256,0.0639,1.0,0.035,0.9,77.0,-8.2956,1.4695,1.4695,-3.9210000000000003
4.3,105,55,0.125,0.06666699999999999,0.12579,0.0639,1.0,0.035,0.9,70.8,-8.9726,1.1157,1.1157,-4.0045
5.0,105,55,0.125,0.06666699999999999,0.11110999999999999,0.0639,1.0,0.035,0.9,65.9,-9.8117,0.8652,0.8652,-4.0448
3.6,105,55,0.25,0.2,0.1584,0.071,1.0,0.035,0.9,82.65,-9.1701,2.5855,2.5855,-2.8930000000000002
4.3,105,55,0.25,0.2,0.13976,0.071,1.0,0.035,0.9,75.85,-9.5822,2.1359,2.1359,-3.0494
5.0,105,55,0.25,0.2,0.12345999999999999,0.071,1.0,0.035,0.9,70.35,-10.270999999999999,1.8326,1.8326,-3.1269
3.6,105,55,0.125,0.2,0.1584,0.071,1.0,0.035,0.9,79.2,-7.3095,1.7601,1.7601,-3.6673
4.3,105,55,0.125,0.2,0.13976,0.071,1.0,0.035,0.9,72.85,-7.8532,1.4427,1.4427,-3.7259
5.0,105,55,0.125,0.2,0.12345999999999999,0.071,1.0,0.035,0.9,67.8,-8.5094,1.22,1.22,-3.7347
3.6,105,55,0.25,0.06666699999999999,0.1584,0.071,1.0,0.035,0.9,78.3,-8.277000000000001,1.9612,1.9612,-3.4182
4.3,105,55,0.25,0.06666699999999999,0.13976,0.071,1.0,0.035,0.9,71.85,-8.7128,1.5653,1.5653,-3.5379
5.0,105,55,0.25,0.06666699999999999,0.12345999999999999,0.071,1.0,0.035,0.9,66.75,-9.3778,1.3017,1.3017,-3.5928
3.6,105,55,0.125,0.06666699999999999,0.1584,0.071,1.0,0.035,0.9,76.8,-7.6472,1.5908,1.5908,-3.779
4.3,105,55,0.125,0.06666699999999999,0.13976,0.071,1.0,0.035,0.9,70.65,-8.2193,1.2734,1.2734,-3.8349
5.0,105,55,0.125,0.06666699999999999,0.12345999999999999,0.071,1.0,0.035,0.9,65.75,-8.9316,1.042,1.042,-3.8599
3.6,105,55,0.25,0.2,0.17424,0.0781,1.0,0.035,0.9,82.65,-8.7017,2.7615,2.7615,-2.7087
4.3,105,55,0.25,0.2,0.15374000000000002,0.0781,1.0,0.035,0.9,75.8,-9.1101,2.3284,2.3284,-2.8474
5.0,105,55,0.25,0.2,0.1358,0.0781,1.0,0.035,0.9,70.3,-9.7436,2.0438,2.0438,-2.9073
3.6,105,55,0.125,0.2,0.17424,0.0781,1.0,0.035,0.9,79.15,-6.8521,1.8878,1.8878,-3.5212
4.3,105,55,0.125,0.2,0.15374000000000002,0.0781,1.0,0.035,0.9,72.8,-7.332000000000001,1.5887,1.5887,-3.5716
5.0,105,55,0.125,0.2,0.1358,0.0781,1.0,0.035,0.9,67.75,-7.9016,1.3853,1.3853,-3.5568
3.6,105,55,0.25,0.06666699999999999,0.17424,0.0781,1.0,0.035,0.9,78.2,-7.79,2.0872,2.0872,-3.2754
4.3,105,55,0.25,0.06666699999999999,0.15374000000000002,0.0781,1.0,0.035,0.9,71.75,-8.1761,1.7112,1.7112,-3.3825
5.0,105,55,0.25,0.06666699999999999,0.1358,0.0781,1.0,0.035,0.9,66.65,-8.7715,1.47,1.47,-3.4162
3.6,105,55,0.125,0.06666699999999999,0.17424,0.0781,1.0,0.035,0.9,76.65,-7.138,1.6992,1.6992,-3.6516
4.3,105,55,0.125,0.06666699999999999,0.15374000000000002,0.0781,1.0,0.035,0.9,70.5,-7.6412,1.4068,1.4068,-3.6911
5.0,105,55,0.125,0.06666699999999999,0.1358,0.0781,1.0,0.035,0.9,65.6,-8.2668,1.1945,1.1945,-3.6983
3.6,105,55,0.25,0.2,0.14256,0.0639,1.0,0.035,1.0,81.5,-13.31,2.9967,2.9967,-2.7636
4.3,105,55,0.25,0.2,0.12579,0.0639,1.0,0.035,1.0,74.85,-13.734000000000002,2.475,2.475,-3.0262
5.0,105,55,0.25,0.2,0.11110999999999999,0.0639,1.0,0.035,1.0,69.5,-14.687000000000001,2.093,2.093,-3.1637
3.6,105,55,0.125,0.2,0.14256,0.0639,1.0,0.035,1.0,78.9,-9.182,2.2462,2.2462,-3.548
4.3,105,55,0.125,0.2,0.12579,0.0639,1.0,0.035,1.0,72.55,-9.8487,1.8383,1.8383,-3.6844
5.0,105,55,0.125,0.2,0.11110999999999999,0.0639,1.0,0.035,1.0,67.5,-10.663,1.5185,1.5185,-3.7463
3.6,105,55,0.25,0.06666699999999999,0.14256,0.0639,1.0,0.035,1.0,77.9,-10.439,2.352,2.352,-3.3802
4.3,105,55,0.25,0.06666699999999999,0.12579,0.0639,1.0,0.035,1.0,71.5,-10.925999999999998,1.8757,1.8757,-3.5704
5.0,105,55,0.25,0.06666699999999999,0.11110999999999999,0.0639,1.0,0.035,1.0,66.4,-11.735999999999999,1.4922,1.4922,-3.7079
3.6,105,55,0.125,0.06666699999999999,0.14256,0.0639,1.0,0.035,1.0,76.7,-9.3888,2.0025,2.0025,-3.7487
4.3,105,55,0.125,0.06666699999999999,0.12579,0.0639,1.0,0.035,1.0,70.5,-10.094,1.5918,1.5918,-3.8692
5.0,105,55,0.125,0.06666699999999999,0.11110999999999999,0.0639,1.0,0.035,1.0,65.6,-10.988,1.2429999999999999,1.2429999999999999,-3.9671
3.6,105,55,0.25,0.2,0.1584,0.071,1.0,0.035,1.0,81.4,-12.152999999999999,3.179,3.179,-2.5701
4.3,105,55,0.25,0.2,0.13976,0.071,1.0,0.035,1.0,74.7,-12.517000000000001,2.6758,2.6758,-2.8167
5.0,105,55,0.25,0.2,0.12345999999999999,0.071,1.0,0.035,1.0,69.35,-13.29,2.3036,2.3036,-2.9426
3.6,105,55,0.125,0.2,0.1584,0.071,1.0,0.035,1.0,78.7,-8.522,2.3817,2.3817,-3.3908
4.3,105,55,0.125,0.2,0.13976,0.071,1.0,0.035,1.0,72.35,-9.1,1.99,1.99,-3.5191
5.0,105,55,0.125,0.2,0.12345999999999999,0.071,1.0,0.035,1.0,67.3,-9.802,1.6862,1.6862,-3.5668
3.6,105,55,0.25,0.06666699999999999,0.1584,0.071,1.0,0.035,1.0,77.85,-9.6852,2.531,2.531,-3.1892
4.3,105,55,0.25,0.06666699999999999,0.13976,0.071,1.0,0.035,1.0,71.4,-10.081,2.0631,2.0631,-3.3752
5.0,105,55,0.25,0.06666699999999999,0.12345999999999999,0.071,1.0,0.035,1.0,66.35,-10.761,1.7194,1.7194,-3.4723
3.6,105,55,0.125,0.06666699999999999,0.1584,0.071,1.0,0.035,1.0,76.55,-8.6448,2.1551,2.1551,-3.583
4.3,105,55,0.125,0.06666699999999999,0.13976,0.071,1.0,0.035,1.0,70.35,-9.23,1.7555,1.7555,-3.6971
5.0,105,55,0.125,0.06666699999999999,0.12345999999999999,0.071,1.0,0.035,1.0,65.45,-9.9698,1.4455,1.4455,-3.7544
3.6,105,55,0.25,0.2,0.17424,0.0781,1.0,0.035,1.0,81.35,-11.482000000000001,3.3785,3.3785,-2.3565
4.3,105,55,0.25,0.2,0.15374000000000002,0.0781,1.0,0.035,1.0,74.65,-11.832,2.8981,2.8981,-2.5839999999999996
5.0,105,55,0.25,0.2,0.1358,0.0781,1.0,0.035,1.0,69.3,-12.515999999999998,2.5447,2.5447,-2.6902
3.6,105,55,0.125,0.2,0.17424,0.0781,1.0,0.035,1.0,78.6,-7.9897,2.5234,2.5234,-3.2233
4.3,105,55,0.125,0.2,0.15374000000000002,0.0781,1.0,0.035,1.0,72.25,-8.486,2.1484,2.1484,-3.347
5.0,105,55,0.125,0.2,0.1358,0.0781,1.0,0.035,1.0,67.2,-9.0842,1.8671,1.8671,-3.3755
3.6,105,55,0.25,0.06666699999999999,0.17424,0.0781,1.0,0.035,1.0,77.7,-9.1066,2.6673,2.6673,-3.0395
4.3,105,55,0.25,0.06666699999999999,0.15374000000000002,0.0781,1.0,0.035,1.0,71.3,-9.4459,2.2234,2.2234,-3.2063
5.0,105,55,0.25,0.06666699999999999,0.1358,0.0781,1.0,0.035,1.0,66.2,-10.037,1.8944,1.8944,-3.2861
3.6,105,55,0.125,0.06666699999999999,0.17424,0.0781,1.0,0.035,1.0,76.35,-8.0629,2.266,2.266,-3.4505
4.3,105,55,0.125,0.06666699999999999,0.15374000000000002,0.0781,1.0,0.035,1.0,70.2,-8.5669,1.8927,1.8927,-3.5472
5.0,105,55,0.125,0.06666699999999999,0.1358,0.0781,1.0,0.035,1.0,65.3,-9.2043,1.6012,1.6012,-3.5881
3.6,105,55,0.25,0.2,0.14256,0.0639,1.0,0.035,1.1,80.45,-18.452,3.3982,3.3982,-2.6405
4.3,105,55,0.25,0.2,0.12579,0.0639,1.0,0.035,1.1,73.9,-18.774,2.847,2.847,-2.9201
5.0,105,55,0.25,0.2,0.11110999999999999,0.0639,1.0,0.035,1.1,68.65,-20.066,2.3925,2.3925,-3.1439999999999997
3.6,105,55,0.125,0.2,0.14256,0.0639,1.0,0.035,1.1,78.4,-10.814,2.7795,2.7795,-3.3222
4.3,105,55,0.125,0.2,0.12579,0.0639,1.0,0.035,1.1,72.05,-11.481,2.3073,2.3073,-3.5026
5.0,105,55,0.125,0.2,0.11110999999999999,0.0639,1.0,0.035,1.1,67.0,-12.431,1.9216,1.9216,-3.6387
3.6,105,55,0.25,0.06666699999999999,0.14256,0.0639,1.0,0.035,1.1,77.5,-12.235,2.8414,2.8414,-3.2008
4.3,105,55,0.25,0.06666699999999999,0.12579,0.0639,1.0,0.035,1.1,71.1,-12.683,2.2959,2.2959,-3.4522
5.0,105,55,0.25,0.06666699999999999,0.11110999999999999,0.0639,1.0,0.035,1.1,66.05,-13.538,1.8628,1.8628,-3.6277
3.6,105,55,0.125,0.06666699999999999,0.14256,0.0639,1.0,0.035,1.1,76.5,-10.610999999999999,2.5203,2.5203,-3.5488
4.3,105,55,0.125,0.06666699999999999,0.12579,0.0639,1.0,0.035,1.1,70.25,-11.32,2.0231,2.0231,-3.7451
5.0,105,55,0.125,0.06666699999999999,0.11110999999999999,0.0639,1.0,0.035,1.1,65.4,-12.222999999999999,1.6326,1.6326,-3.8722
3.6,105,55,0.25,0.2,0.1584,0.071,1.0,0.035,1.1,80.35,-16.991,3.6599,3.6599,-2.3613
4.3,105,55,0.25,0.2,0.13976,0.071,1.0,0.035,1.1,73.8,-17.219,3.1327,3.1327,-2.6216
5.0,105,55,0.25,0.2,0.12345999999999999,0.071,1.0,0.035,1.1,68.5,-18.152,2.716,2.716,-2.8107
3.6,105,55,0.125,0.2,0.1584,0.071,1.0,0.035,1.1,78.3,-9.9672,2.9692,2.9692,-3.1146
4.3,105,55,0.125,0.2,0.13976,0.071,1.0,0.035,1.1,71.95,-10.488,2.5168,2.5168,-3.2818
5.0,105,55,0.125,0.2,0.12345999999999999,0.071,1.0,0.035,1.1,66.9,-11.244000000000002,2.1506,2.1506,-3.4027
3.6,105,55,0.25,0.06666699999999999,0.1584,0.071,1.0,0.035,1.1,77.45,-11.347000000000001,3.0451,3.0451,-2.9788
4.3,105,55,0.25,0.06666699999999999,0.13976,0.071,1.0,0.035,1.1,71.05,-11.679,2.5294,2.5294,-3.2089
5.0,105,55,0.25,0.06666699999999999,0.12345999999999999,0.071,1.0,0.035,1.1,65.95,-12.353,2.1086,2.1086,-3.3747
3.6,105,55,0.125,0.06666699999999999,0.1584,0.071,1.0,0.035,1.1,76.3,-9.7704,2.6757,2.6757,-3.3742
4.3,105,55,0.125,0.06666699999999999,0.13976,0.071,1.0,0.035,1.1,70.1,-10.335999999999999,2.2173,2.2173,-3.54
5.0,105,55,0.125,0.06666699999999999,0.12345999999999999,0.071,1.0,0.035,1.1,65.2,-11.08,1.8355,1.8355,-3.6605
3.6,105,55,0.25,0.2,0.17424,0.0781,1.0,0.035,1.1,80.2,-15.431,3.8251,3.8251,-2.1763
