speed of light,permittivity,patch_length,patch_width,substrate_height,feed_depth,feed_gap_width,resonance,s11,realized_gain,l3vertical,l3horizontal
299792458000.0,4.3,0.8,1.1,0.07,0.044444,0.24,87400000000.0,-21.101,3.8073,3.8073,-2.7318
299792458000.0,4.3,0.8,1.1,0.07,0.26667,0.08,87450000000.0,-19.842,3.6247,3.6247,-2.7382
299792458000.0,4.3,0.8,1.1,0.07,0.13333,0.08,86700000000.0,-23.93,3.6188,3.6188,-2.8586
299792458000.0,4.3,0.8,1.1,0.07,0.044444,0.08,85950000000.0,-20.322,3.4854,3.4854,-3.0088
299792458000.0,4.3,0.8,1.1,0.07,0.26667,0.026667000000000003,86800000000.0,-32.233000000000004,3.8848,3.8848,-2.5543
299792458000.0,4.3,0.8,1.1,0.07,0.13333,0.026667000000000003,86300000000.0,-20.497,3.7166,3.7166,-2.7692
299792458000.0,4.3,0.8,1.1,0.07,0.044444,0.026667000000000003,86000000000.0,-18.815,3.6651,3.6651,-2.8352
299792458000.0,4.3,0.8,1.1,0.09,0.26667,0.24,88250000000.0,-5.2037,1.7515,1.7515,-4.3551
299792458000.0,4.3,0.8,1.1,0.09,0.13333,0.24,88900000000.0,-23.33,4.6268,4.6268,-1.8165
299792458000.0,4.3,0.8,1.1,0.09,0.044444,0.24,86450000000.0,-14.809,4.1792,4.1792,-2.3059
299792458000.0,4.3,0.8,1.1,0.09,0.26667,0.08,86750000000.0,-23.488000000000003,4.4212,4.4212,-1.8856
299792458000.0,4.3,0.8,1.1,0.09,0.13333,0.08,85950000000.0,-16.637999999999998,4.2009,4.2009,-2.2328
299792458000.0,4.3,0.8,1.1,0.09,0.044444,0.08,85150000000.0,-14.248,3.9811,3.9811,-2.4824
299792458000.0,4.3,0.8,1.1,0.09,0.26667,0.026667000000000003,86100000000.0,-20.702,4.4092,4.4092,-1.9781
299792458000.0,4.3,0.8,1.1,0.09,0.13333,0.026667000000000003,85500000000.0,-14.951,4.1276,4.1276,-2.3137
299792458000.0,4.3,0.8,1.1,0.09,0.044444,0.026667000000000003,85150000000.0,-13.806,4.0253,4.0253,-2.4352
299792458000.0,4.3,0.85,0.7,0.05,0.28333,0.255,97750000000.0,-19.213,1.9997,1.9997,-3.0039
299792458000.0,4.3,0.85,0.7,0.05,0.14167000000000002,0.255,90850000000.0,-10.603,0.992,0.992,-4.0349
299792458000.0,4.3,0.85,0.7,0.05,0.047222,0.255,85950000000.0,-13.152,0.8859799999999999,0.8859799999999999,-4.0458
299792458000.0,4.3,0.85,0.7,0.05,0.28333,0.085,86500000000.0,-17.014,1.1801,1.1801,-3.6428
299792458000.0,4.3,0.85,0.7,0.05,0.14167000000000002,0.085,84900000000.0,-14.461,0.7519399999999999,0.7519399999999999,-4.1214
299792458000.0,4.3,0.85,0.7,0.05,0.047222,0.085,83850000000.0,-15.136,0.6423300000000001,0.6423300000000001,-4.2379
299792458000.0,4.3,0.85,0.7,0.05,0.28333,0.028333,84450000000.0,-14.299,0.7605,0.7605,-4.085
299792458000.0,4.3,0.85,0.7,0.05,0.14167000000000002,0.028333,83700000000.0,-14.374,0.61248,0.61248,-4.253
299792458000.0,4.3,0.85,0.7,0.05,0.047222,0.028333,83400000000.0,-14.77,0.59395,0.59395,-4.2799
299792458000.0,4.3,0.85,0.7,0.07,0.28333,0.255,98050000000.0,-12.873,2.8772,2.8772,-2.1537
299792458000.0,4.3,0.85,0.7,0.07,0.14167000000000002,0.255,89850000000.0,-8.3519,1.567,1.567,-3.403
299792458000.0,4.3,0.85,0.7,0.07,0.047222,0.255,85200000000.0,-9.6727,1.5459,1.5459,-3.3435
299792458000.0,4.3,0.85,0.7,0.07,0.28333,0.085,86150000000.0,-12.871,2.0934,2.0934,-2.7041
299792458000.0,4.3,0.85,0.7,0.07,0.14167000000000002,0.085,84100000000.0,-10.521,1.5218,1.5218,-3.3122
299792458000.0,4.3,0.85,0.7,0.07,0.047222,0.085,83000000000.0,-10.692,1.4188,1.4188,-3.4137
299792458000.0,4.3,0.85,0.7,0.07,0.28333,0.028333,84400000000.0,-11.015999999999998,1.7898,1.7898,-3.0279
299792458000.0,4.3,0.85,0.7,0.07,0.14167000000000002,0.028333,83450000000.0,-10.177,1.5512,1.5512,-3.2809
299792458000.0,4.3,0.85,0.7,0.07,0.047222,0.028333,83000000000.0,-10.092,1.5212,1.5212,-3.3137
299792458000.0,4.3,0.85,0.7,0.09,0.28333,0.255,100750000000.0,-9.5921,3.2146,3.2146,-1.8828
299792458000.0,4.3,0.85,0.7,0.09,0.14167000000000002,0.255,89200000000.0,-6.5378,1.64,1.64,-3.2612
299792458000.0,4.3,0.85,0.7,0.09,0.047222,0.255,84500000000.0,-7.4192,1.7106,1.7106,-3.1184
299792458000.0,4.3,0.85,0.7,0.09,0.28333,0.085,86350000000.0,-10.275,2.5282,2.5282,-2.2534
299792458000.0,4.3,0.85,0.7,0.09,0.14167000000000002,0.085,83650000000.0,-7.9929999999999986,1.8213,1.8213,-2.9628
299792458000.0,4.3,0.85,0.7,0.09,0.047222,0.085,82350000000.0,-7.9784,1.7035,1.7035,-3.0713
299792458000.0,4.3,0.85,0.7,0.09,0.28333,0.028333,84300000000.0,-8.6822,2.1016,2.1016,-2.6748
299792458000.0,4.3,0.85,0.7,0.09,0.14167000000000002,0.028333,83000000000.0,-7.8935,1.8071,1.8071,-2.9692
299792458000.0,4.3,0.85,0.7,0.09,0.047222,0.028333,82450000000.0,-7.7722,1.7301,1.7301,-3.0467
299792458000.0,4.3,0.85,0.8,0.05,0.28333,0.255,92750000000.0,-17.201,1.765,1.765,-3.4798
299792458000.0,4.3,0.85,0.8,0.05,0.14167000000000002,0.255,89500000000.0,-14.015999999999998,1.6509,1.6509,-3.7574
299792458000.0,4.3,0.85,0.8,0.05,0.047222,0.255,85250000000.0,-15.743,1.3431,1.3431,-3.991
299792458000.0,4.3,0.85,0.8,0.05,0.28333,0.085,85600000000.0,-24.123,1.5022,1.5022,-3.6912
299792458000.0,4.3,0.85,0.8,0.05,0.14167000000000002,0.085,84350000000.0,-17.471,1.1747,1.1747,-4.0973
299792458000.0,4.3,0.85,0.8,0.05,0.047222,0.085,83400000000.0,-17.865,1.0418,1.0418,-4.2383
299792458000.0,4.3,0.85,0.8,0.05,0.28333,0.028333,83950000000.0,-17.226,1.2305,1.2305,-4.0074
299792458000.0,4.3,0.85,0.8,0.05,0.14167000000000002,0.028333,83300000000.0,-16.829,1.0497,1.0497,-4.2158
